well_identifier,timestamp,level_ft,well_name,elevation,long,lat,ps_elev,pct,n_obs,min_date,max_date
27-69-25abc,2021-11-08,14.409999999999998,Cottonwood Creek #1,5345.62109375,-105.18361,42.28167,5331.21109375,0,14,2013-10-09,2021-11-08
26-68-12cbd,2021-11-09,129.7,Earl Rutherford,4828.158203125,-104.96278,42.24528,4698.458203125,0.3076923076923077,14,2013-10-09,2021-11-09
24-67-21aab,2021-11-08,25.44,Ed Preuit,4586.75634765625,-104.88917,42.04361,4561.31634765625,0.2857142857142857,15,2013-10-09,2021-11-08
25-067-19dda,2021-11-08,60.28000000000001,Ed Wilhelm,4548.66748046875,-104.9275,42.12167,4488.38748046875,0.6666666666666666,16,2013-10-09,2021-11-08
24-68-22aab,2021-11-08,89.02,Platte County #1A,4847.34228515625,-104.98417,42.04611,4758.32228515625,0.9285714285714286,15,2013-10-09,2021-11-08
25-67-34ccd,2021-11-08,87.65,Platte County #2,4607.52734375,-104.88389,42.09,4519.87734375,1,15,2013-10-09,2021-11-08
25-68-24aad,2021-11-08,71.67,Platte County #3,4565.431640625,-104.94722,42.13,4493.761640625,0.8571428571428571,15,2013-10-09,2021-11-08
25-68-12dda,2021-11-08,21.35,Platte County #4,4513.3876953125,-104.94722,42.14972,4492.0376953125,0.35714285714285715,15,2013-10-09,2021-11-08
26-68-36bbb,2021-11-08,159.57,Platte County #5,4714.62060546875,-104.96611,42.20778,4555.05060546875,0.8461538461538461,14,2013-10-09,2021-11-08
25-68-15bbd,2021-11-08,84.1,Platte County #6,4641.4541015625,-105.00111,42.14444,4557.3541015625,0.7857142857142857,15,2013-11-13,2021-11-08
26-68-31aaa,2021-11-08,30.53,Platte County #7,4635.73046875,-105.04556,42.10361,4605.20046875,0.5,15,2013-10-09,2021-11-08
24-68-10aaa,2021-11-08,7.01,Platte County #7B,4741.669921875,-104.98306,42.07306,4734.659921875,1,15,2013-10-09,2021-11-08
24-68-20bbb,2021-11-08,20.2,Platte County #8,4806.099609375,-105.04472,42.045,4785.899609375,0.9285714285714286,15,2013-10-09,2021-11-08
24-68-32ddc,2021-11-08,31.23,Platte County #9,4923.767578125,-105.02667,42.0025,4892.537578125,0.4666666666666667,16,2013-10-09,2021-11-08
